"Number of processes","1 images (9px) - round 1","1 images (9px) - round 2","1 images (9px) - round 3","1 images (9px) - round 4","1 images (9px) - round 5","1 images (9px) - round 6","1 images (9px) - average","19 images (9px) - round 1","19 images (9px) - round 2","19 images (9px) - round 3","19 images (9px) - round 4","19 images (9px) - round 5","19 images (9px) - round 6","19 images (9px) - average","3 images - round 1","3 images - round 2","3 images - round 3","3 images - round 4","3 images - round 5","3 images - round 6","3 images - average","12 images - round 1","12 images - round 2","12 images - round 3","12 images - round 4","12 images - round 5","12 images - round 6","12 images - average","24 images - round 1","24 images - round 2","24 images - round 3","24 images - round 4","24 images - round 5","24 images - round 6","24 images - average","64 images - round 1","64 images - round 2","64 images - round 3","64 images - round 4","64 images - round 5","64 images - round 6","64 images - average","128 images - round 1","128 images - round 2","128 images - round 3","128 images - round 4","128 images - round 5","128 images - round 6","128 images - average","512 images - round 1","512 images - round 2","512 images - round 3","512 images - round 4","512 images - round 5","512 images - round 6","512 images - average","1024 images - round 1","1024 images - round 2","1024 images - round 3","1024 images - round 4","1024 images - round 5","1024 images - round 6","1024 images - average","2500 images - round 1","2500 images - round 2","2500 images - round 3","2500 images - round 4","2500 images - round 5","2500 images - round 6","2500 images - average"
1,0.044903,0.0498884,0.0474542,0.047365,0.0459914,0.0504736,0.0476792666,0.0460108,0.0463808,0.049991,0.0432188,0.0454288,0.0507424,0.0469621000,0.274504,0.274738,0.277466,0.275479,0.293606,0.267571,0.2772273334,0.861482,0.81973,0.909514,0.8282,0.819442,0.834972,0.8455566667,1.61367,1.60224,1.69527,1.62694,1.68278,1.60979,1.6384483333,4.11505,4.01382,4.1114,4.10552,4.10878,4.12527,4.0966400000,8.13605,8.20571,8.07672,7.98344,8.0935,8.06068,8.0926833333,31.131,31.2066,31.1625,31.0304,31.1698,31.1118,31.1353500000,61.1866,60.84,61.2866,60.9229,60.4884,60.5004,60.8708166667,147.401,146.48,146.539,146.388,146.668,146.446,146.6536666667
2,0.0686674,0.071524,0.0594526,0.069517,0.0755093,0.0599628,0.0674388501,0.0728378,0.0727404,0.0593562,0.0645383,0.0958574,0.066258,0.0719313499,0.225056,0.263555,0.229097,0.238955,0.321578,0.236689,0.2524883332,0.669746,0.655316,0.651552,0.654867,0.662758,0.660193,0.6590720000,1.24462,1.20957,1.2039,1.19948,1.20607,1.20896,1.2121000000,3.12458,3.03071,2.99493,3.0229,3.00419,3.00334,3.0301083333,6.14924,6.0063,5.99845,5.9888,6.03343,6.0339,6.0350200000,22.6926,22.4221,22.3834,22.4327,22.3891,22.3948,22.4524500001,45.9509,44.9895,45.003,44.9853,45.2298,45.0781,45.2061000000,110.898,109.682,109.649,109.692,111.107,109.992,110.1699999999
3,0.0735856,0.0803258,0.0732539,0.0765311,0.101885,0.0743851,0.0799944166,0.0786386,0.0714603,0.0811224,0.0770328,0.0736902,0.0761925,0.0763561333,0.16897,0.183228,0.168082,0.177722,0.183594,0.175883,0.1762465000,0.472495,0.483053,0.483081,0.466402,0.466102,0.476234,0.4745611667,0.850545,0.852927,0.827018,0.840979,0.832107,0.836204,0.8399633333,2.1545,2.12692,2.13234,2.12627,2.12874,2.13648,2.1342083333,4.02738,3.9909,3.99902,3.99334,4.01376,3.99782,4.0037033333,15.7149,15.5015,15.5487,15.4616,15.5948,15.4889,15.5517333332,29.9543,29.941,29.9562,30.2458,30.0619,29.9103,30.0115833334,73.9784,73.308,73.5811,73.3352,73.6448,73.1084,73.4926499999
4,0.0783864,0.091319,0.0782375,0.079271,0.077284,0.088055,0.0820921499,0.0743854,0.0856963,0.077545,0.106467,0.0991866,0.0776303,0.0868184334,0.173169,0.185058,0.214376,0.171182,0.190754,0.172698,0.1845394999,0.381914,0.381997,0.435496,0.373836,0.49159,0.375797,0.4067716667,0.680166,0.653569,0.659499,0.645498,0.646801,0.645617,0.6551916667,1.62742,1.59755,1.58522,1.58389,1.5815,1.58046,1.5926733333,3.12369,3.00823,3.00553,3.01949,3.00554,3.00445,3.0278216667,12.0144,11.8342,11.8396,11.8315,11.8457,11.8609,11.8710500001,22.7062,22.681,22.4627,22.4573,22.4643,22.4817,22.5422000000,55.033,54.8612,55.0389,54.9169,55.1846,54.8602,54.9824666667
5,0.093359,0.0828902,0.0808375,0.0986796,0.0785316,0.0886776,0.0871625833,0.0836306,0.108302,0.084545,0.121555,0.0879727,0.0913057,0.0962185000,0.205461,0.199264,0.173777,0.192936,0.190797,0.178315,0.1900916667,0.441009,0.412428,0.418907,0.389727,0.378387,0.379232,0.4032816666,0.583002,0.574183,0.583385,0.569497,0.574425,0.571057,0.5759248334,1.35683,1.34298,1.34026,1.34618,1.36021,1.33356,1.3466700000,2.57695,2.56276,2.57631,2.56614,2.57876,2.56583,2.5711250000,9.91187,9.8636,9.91827,9.89398,9.87495,9.94212,9.9007983333,18.9167,18.8867,18.8776,18.8756,18.8569,18.8798,18.8822166666,46.2049,45.4586,46.0086,45.4009,45.4347,45.9354,45.7405166667
6,0.103936,0.126676,0.101225,0.102083,0.0972275,0.0917215,0.1038115000,0.0968854,0.105283,0.0980358,0.0960902,0.0998602,0.0894209,0.0975959167,0.181438,0.230717,0.210951,0.232555,0.243441,0.19225,0.2152253334,0.333687,0.307502,0.307551,0.308022,0.332959,0.378071,0.3279653333,0.504507,0.503419,0.509504,0.501155,0.499982,0.503875,0.5037403333,1.16802,1.14961,1.14682,1.15531,1.15591,1.23661,1.1687133335,2.22029,2.21329,2.21605,2.22572,2.22546,2.22075,2.2202600000,8.30642,8.30236,8.25581,8.37967,8.25865,8.2589,8.2936350000,16.023,16.0341,16.0245,16.1111,15.9979,16.0102,16.0334666667,37.9834,37.8808,37.8762,38.3509,37.8605,37.9397,37.9819166667
7,0.0953118,0.106187,0.101242,0.110255,0.100761,0.137857,0.1086023000,0.120257,0.129901,0.111312,0.101846,0.101905,0.106154,0.1118958333,0.203879,0.197519,0.224258,0.247196,0.20232,0.207891,0.2138438332,0.329881,0.310765,0.31891,0.314579,0.33753,0.337011,0.3247793334,0.507382,0.496083,0.500812,0.494278,0.506261,0.510562,0.5025630001,1.07918,1.0646,1.08578,1.0647,1.05174,1.06301,1.0681683332,1.96824,1.96734,2.03815,1.91734,1.93924,1.93358,1.9606483334,7.15851,7.13379,7.88747,7.42821,7.39034,7.58199,7.4300516666,14.1546,15.3132,14.7905,14.5917,14.6919,14.6631,14.7008333333,33.9206,34.8005,35.1704,36.8682,35.1661,34.7546,35.1133999999
8,0.103537,0.108463,0.112791,0.120445,0.130778,0.117429,0.1155738334,0.109374,0.10834,0.121028,0.104631,0.108216,0.122117,0.1122843333,0.227424,0.251989,0.221621,0.218841,0.244876,0.224183,0.2314890000,0.304742,0.333375,0.356429,0.359688,0.389995,0.322235,0.3444106666,0.655363,0.485722,0.47094,0.533484,0.474696,0.572845,0.5321750001,0.98494,1.04762,0.988835,1.01319,1.07384,1.10093,1.0348924999,1.72392,1.79109,1.72795,1.68045,1.91414,1.80551,1.7738433333,6.24805,6.34715,6.75432,6.88934,7.02179,7.07652,6.7228616666,13.8617,13.8437,13.8306,13.8967,14.3157,14.2002,13.9914333333,34.2109,32.3414,34.0516,34.7444,36.2201,36.4898,34.6763666666
9,0.118106,0.141912,0.121638,0.112959,0.106509,0.117686,0.1198016666,0.118213,0.120239,0.108642,0.135839,0.133339,0.112806,0.1215130000,0.220012,0.234974,0.219707,0.214333,0.217017,0.221266,0.2212181667,0.31767,0.334144,0.371146,0.357614,0.327058,0.337596,0.3408713334,0.541544,0.481291,0.455058,0.510816,0.479405,0.594591,0.5104508333,1.01815,0.986975,0.988351,1.0564,1.06355,1.00736,1.0201310000,1.85251,1.83433,1.88283,1.83327,1.84279,1.86495,1.8517800001,6.88669,7.17348,6.89174,6.90499,6.92218,6.86223,6.9402183334,13.6857,13.8339,13.6626,13.9011,13.693,13.657,13.7388833334,32.6161,32.5561,32.3338,32.4144,32.2291,32.16,32.3849166668
10,0.139427,0.130937,0.121019,0.143795,0.154236,0.111856,0.1335449999,0.149264,0.123065,0.122199,0.11296,0.145955,0.134884,0.1313878333,0.229481,0.20443,0.252546,0.245175,0.24391,0.238784,0.2357210000,0.357098,0.377761,0.394439,0.392086,0.325751,0.381188,0.3713871666,0.475081,0.472781,0.508543,0.498437,0.527656,0.533276,0.5026290000,0.945945,1.06892,0.920162,0.989785,0.859918,1.19342,0.9963583333,1.62408,1.5918,1.69664,1.64331,1.74969,1.67138,1.6628166666,6.29451,6.29148,6.27657,6.28557,6.37052,6.34609,6.3107900000,12.6172,12.4738,12.4188,12.5205,12.5999,12.545,12.5292000000,30.1276,30.3085,30.7702,29.9603,30.4664,30.531,30.3606666667
